ARTIST,BACKING,CAPO,CHORDPRO FILENAME,COUNTIN,DURATION,KEY,NORD,PERFORMANCE KEY,TEMPO,TIME SIGNATURE,TITLE,VE,VERSION
Etta James,57,,./cho/DEF/E/EttaJames/DownhomeBlues.cho,4,4:30,G,P55,,,,Downhome Blues,,
England Dan / John Ford Coley,,,./cho/DEF/E/EnglandDanJohnFordColey/IdReallyLoveToSeeYouTonight.cho,,,F,,,,,I'd Really Love To See You Tonight,,
ELO ( Jeff Lynne ),,,./cho/DEF/E/ELO/WhenIWasABoy.cho,,,C,,,,,When I Was A Boy,,
ELO,,,./cho/DEF/E/ELO/CantGetYouOutOfMyHead.cho,,,,,,,,Can't Get You Out Of My Head,,
ELO,,,./cho/DEF/E/ELO/MidnightBlue.cho,,4:10,F,,D,,,Midnight Blue,,
ELO / Jeff Lynne,,,./cho/DEF/E/ELO/Rockaria.cho,,,D,,,,,Rockaria,,
Traditional,,,./cho/UV-Z/Xmas/RudolphTheRedNosedReindeer.cho,,2:10,C,,,94,,Rudolph The Red-Nosed Reindeer,,
Bobby Helms,,,./cho/UV-Z/Xmas/JingleBellRock.cho,4,1:45,C,,,118,,Jingle Bell Rock,,
Traditional,,,./cho/UV-Z/Xmas/WinterWonderland.cho,,2:10,Eb,,,94,,Winter Wonderland,,
Eartha Kitt,,,./cho/UV-Z/Xmas/SantaBaby.cho,,2:30,G,,,151,,Santa Baby,,
Dean Martin,,,./cho/UV-Z/Xmas/LetItSnow.cho,,1:50,A,,,95,,Let It Snow,,
Paul McCartney,,,./cho/UV-Z/Xmas/WonderfulChristmastime.cho,,,G,,,,,Wonderful Christmastime,,
Brenda Lee,,,./cho/UV-Z/Xmas/RockinAroundTheChristmasTree.cho,,2:20,G,,,138,,Rockin' Around The Christmas Tree,,
Bing Crosby,,,./cho/UV-Z/Xmas/HaveYourselfAMerryLittleChristmas.cho,,2:50,C,,,80,,Have Yourself A Merry Little Christmas,,
Bruce Springsteen,,,./cho/UV-Z/Xmas/SantaClausIsComingToTown.cho,,3:30,C,,,118,,Santa Claus Is Coming To Town,,
Elvis Presley,,,./cho/UV-Z/Xmas/BlueChristmas.cho,,1:50,E,,,95,,Blue Christmas,,
Bing Crosby,,,./cho/UV-Z/Xmas/ItsBeginningToLookALotLikeChristmas.cho,4,2:00,G,,,96,,It's Beginning To Look A Lot Like Christmas,,
The Beach Boys,,,./cho/UV-Z/Xmas/LittleSaintNick.cho,,1:45,G,,,131,,Little Saint Nick,,
Luke Bryan,,,./cho/UV-Z/Xmas/RunRunRudolph.cho,4,2:30,A,,,151,,Run Run Rudolph,,
Wham!,,,./cho/UV-Z/Xmas/LastChristmas.cho,4,4:00,C,,,151,,Last Christmas,,
Zombies,,,./cho/UV-Z/Zombies/TimeOfTheSeason.cho,,,Em,,,117,,Time of the Season,,
U2,,,./cho/UV-Z/U2/StuckInAMoment-IStillHaventFound.cho,,,E / C,N51,,TBD,,Stuck In A Moment / I Still Haven't Found,,
Weezer,58,,./cho/UV-Z/W/Weezer/IslandInTheSun.cho,4,3:00,Em,P54,,,,Island In The Sun,,
The Weeknd,,,./cho/UV-Z/W/Weeknd/BlindingLights.cho,,3:20,Fm,,,171,,Blinding Lights,,
The Church,32,,./cho/ST/T/TheChurch/UnderTheMilkyWay.cho,8,5:00,Am,P45,,66,,Under The Milky Way,,0.0
Toby Keith,,,./cho/ST/T/TobyKeith/YourSmile-A.cho,,,A,,,77,4/4,Your Smile,,
Toby Keith,,,./cho/ST/T/TobyKeith/WhereYouGonnaGo.cho,,,Bm,,,129,4/4,Where You Gonna Go,,
Toby Keith,,,./cho/ST/T/TobyKeith/YourSmile.cho,,,G,,,77,4/4,Your Smile,,
Traveling Wilburys,,,./cho/ST/T/TravelingWilburys/HandleWithCare.cho,4,3:18,G,M22,,122,,Handle With Care,P12,
Toby Beau,,,./cho/ST/T/TobyBeau/MyAngelBaby.cho,,3:00,G,,,,,My Angel Baby,,
T.Rex,,,./cho/ST/T/T.Rex/GetItOn.cho,,,,,,,,Get It On,,
Taylor Swift,,,./cho/ST/T/TaylorSwift/YouBelongWithMe.cho,,,G,,,,,You Belong With Me,,
Taylor Swift,,,./cho/ST/T/TaylorSwift/Style.cho,,,G,,,,,Style,,
Taylor Swift,5,,./cho/ST/T/TaylorSwift/OurSong.cho,2,2:40,D,,,89,,Our Song,,
Tom Petty,,,./cho/ST/T/TomPetty/Breakdown.cho,4,3:00,Am,P11,Am,114,,Breakdown,,
Tom Petty,,,./cho/ST/T/TomPetty/FreeFallin-BASS.cho,4,3:30,E,,E,85,,Free Fallin' (BASS),,
Tom Petty,,,./cho/ST/T/TomPetty/DontDoMeLikeThat.cho,,,G,,,,,Don't Do Me Like That,,
Tom Petty,,,./cho/ST/T/TomPetty/IntoTheGreatWideOpen.cho,,3:20,Em,,,82,,Into The Great Wide Open,,
Tom Petty,,,./cho/ST/T/TomPetty/RunningDownADream.cho,,4:00,E,,,170,,Runnin' Down A Dream,,
Tom Petty & The Heartbreakers,,,./cho/ST/T/TomPetty/MaryJanesLastDance.cho,,3:20,Am,,,85,,Mary Jane's Last Dance,,
Tom Petty,,,./cho/ST/T/TomPetty/LearningToFly.cho,8,3:40,C,???,C,116,,Learning to Fly,,
Tom Petty,,2,./cho/ST/T/TomPetty/FreeFallin-GUITAR-D.cho,4,3:30,D,,E,85,,Free Fallin',,
Three Dog Night,,,./cho/ST/T/ThreeDogNight/Shambala.cho,4,3:00,E,O55,,,,Shambala,,
Tommy Castro and the Painkillers,,,./cho/ST/T/TommyCastroNPainkillers/NastyHabits.cho,,,C,,,,,Nasty Habits,,
Tommy Castro and the Painkillers,,,./cho/ST/T/TommyCastroNPainkillers/CallingSanFrac-G.cho,,,G,,,,,Calling San Francisco,,
Tommy Castro and the Painkillers,,,./cho/ST/T/TommyCastroNPainkillers/CallingSanFrac.cho,,,C,,,,,Calling San Francisco,,
Thomas Rhett,,,./cho/ST/T/ThomasRhett/HalfOfMe-2.cho,,3:15,G,N35,,112,4/4,Half Of Me (updated),,
Thomas Rhett,11,,./cho/ST/T/ThomasRhett/HalfOfMe.cho,4,2:45,G,N35,,112,4/4,Half Of Me,,1.0
The Clash,,,./cho/ST/T/TheClash/ShouldIStay-bass.cho,,,D,,,,,Should I Stay (Or Should I Go) (BASS),,
Tommie Tutone,,,./cho/ST/T/TommyTutone/Jenny-867-5309.cho,,3:12,F#m,,,138,,Jenny 867-5309,,
Survivor,,,./cho/ST/S/Survivor/IsThisLove.cho,,,F,,,,,Is This Love,,
Starbuck,,,./cho/ST/S/Starbuck/MoonlightFeelsRight.cho,,,C,,,,,Moonlight Feels Right,,
Steeldrivers,,,./cho/ST/S/Steeldrivers/GoodCornLiquor.cho,,,E,,,,,Good Corn Liquor,,
Stampeders,,,./cho/ST/S/Stampeders/SweetCityWoman.cho,,,G,,,,,Sweet City Woman,,
Santana,,,./cho/ST/S/Santana/CorazonEspinado.cho,0,3:30,Bm,P00,,120,4/4,Corazon Espinado,,
Santana,,,./cho/ST/S/Santana/BlackMagicWoman.cho,,,,,,,,Black Magic Woman,,
Santana,,,./cho/ST/S/Santana/EvilWays.cho,,3:30,Gm,P25,,78,,Evil Ways,,
Santana,,,./cho/ST/S/Santana/Smooth.cho,0,4:00,Am,P25,,116,,Smooth,,
Seals and Crofts,23,,./cho/ST/S/SealsCrofts/DiamondGirl.cho,8,3:45,Am,O42,,127,,Diamond Girl,,
Seals and Crofts,,,./cho/ST/S/SealsCrofts/SummerBreeze.cho,4,3:25,,041,,76,,Summer Breeze,,
Seals & Crofts,,,./cho/ST/S/SealsCrofts/WeMayNeverPassThisWayAgain.cho,,,E,,,88,,We May Never Pass This Way Again,,
Santo and Johnny,,,./cho/ST/S/SantoAndJohnny/SleepWalk.cho,,,C,,,,,Sleep Walk,,
Shocking Blue,,,./cho/ST/S/ShockingBlue/Venus.cho,,,A,,,,,Venus,,
Zombies / Shocking Blue,,,./cho/ST/S/ShockingBlue/ShesNotThere-Venus.cho,,4:00,A,O21,,,,She's Not There / Venus,,
Still Corners,,,./cho/ST/S/StillCorners/WhiteSands.cho,,,Dm,,,,,White Sands,,
Steve Miller Band,,,./cho/ST/S/SteveMillerBand/TakeTheMoneyAndRun-Bass.cho,,2:52,G,,,,,Take The Money And Run (BASS),,
Steve Miller Band,,,./cho/ST/S/SteveMillerBand/TakeTheMoneyAndRun.cho,,2:52,G,,,,,Take The Money And Run,,
Silk Sonic,,,./cho/ST/S/SilkSonic/LeaveTheDoorOpen.cho,,,F,,,,,Leave the Door Open,,
Sixpence None The Richer,30,,./cho/ST/S/SixpenceNoneTheRicher/KissMe.cho,4,2:50,C,O12,Eb,100,,Kiss Me,,
Sixpence None The Richer,31,,./cho/ST/S/SixpenceNoneTheRicher/ThereSheGoes.cho,4,2:42,G,P24,Bb,123,,There She Goes,,
Scott Davidson,,,./cho/ST/S/ScottDavidson/Hesitate.cho,,3:00,Bb,,,86,,Hesitate (partial),,
Scott Davidson,,,./cho/ST/S/ScottDavidson/Progress.cho,,2:00,D,,,,,Progress (for now),,
"Michael Sadri, Scott Davidson",,,./cho/ST/S/ScottDavidson/GoingToMontana.cho,8,3:30,Am,P14,,136,,Going To Montana,,
Scott Davidson,,,./cho/ST/S/ScottDavidson/SunriseInCork.cho,,2:00,G,,,,,Sunrise in Cork,,
Scott Davidson,,,./cho/ST/S/ScottDavidson/DreamDrift.cho,,3:00,F,,,86,,Dream Drift,,
Scott Davidson,,,./cho/ST/S/ScottDavidson/DiminishedIdea.cho,,3:00,Bb,,,86,,Diminished Idea,,
"Steppenwolf, Adam Lambert",,,./cho/ST/S/Steppenwolf/BornToBeWild.cho,,,E,,,,,Born To Be Wild,,
Stevie Wonder,,,./cho/ST/S/StevieWonder/Lately.cho,,3:30,C,,,,,Lately,,
Stevie Wonder,,,./cho/ST/S/StevieWonder/DontYouWorryBoutAThing.cho,,,,,,,,Don't You Worry 'Bout A Thing,,
Susan Tedeschi,,,./cho/ST/S/SusanTedeschi/LittleByLittle.cho,,,E,,,,,Little by Little,,
Suzy Quatro,,,./cho/ST/S/SuziQuatro/StumblinIn.cho,,,G,,,,,Stumblin' In,,
Sade,,,./cho/ST/S/Sade/SmoothOperator.cho,0,3:30,Am,53,,120,,Smooth Operator,,
Stray Cats,,,./cho/ST/S/StrayCats/StrayCatStrut.cho,,,Cm,,,,,Stray Cat Strut,,
Stevie Ray Vaughan,,,./cho/ST/S/StevieRayVaughan/HouseIsARockin.cho,8,2:05,B,,,172,,House is a Rockin',,
Stevie Ray Vaughan,,,./cho/ST/S/StevieRayVaughan/HouseIsARockin-c.cho,8,2:05,C,,B,172,,House is a Rockin',,
Sylvia,63,,./cho/ST/S/Sylvia/Nobody.cho,8,3:10,C,P00,,,,Nobody,,
Nigel Olsson,,,./cho/MNO/N/NigelOlsson/DancinShoes.cho,,,Bm,,,101,,Dancin' Shoes,,
Neil Diamond,,,./cho/MNO/N/NeilDiamond/SweetCaroline.cho,,3:24,,,,63,,Sweet Caroline,,
Nick Lowe,,,./cho/MNO/N/NickLowe/CruelToBeKind.cho,,,,,,,,Cruel To Be Kind,,
No Doubt(Gwen Stephani),,,./cho/MNO/N/NoDoubt/DontSpeak.cho,4,3:45,Cm,N45,,76,,Don't Speak,,
Niall Horan,,,./cho/MNO/N/NiallHoran/PutALittleLoveOnMe.cho,,,G,,,,,Put A Little Love On Me,,
Niall Horan,,,./cho/MNO/N/NiallHoran/ThisTown.cho,,,G,,,,,This Town,,
Norah Jones,28,,./cho/MNO/N/NorahJones/DontKnowWhy.cho,4,3:06,Bb,??,,88,,Don't Know Why,,
Nat King Cole,,,./cho/MNO/N/NatKingCole/L_O_V_E.cho,,,G,,,78,,L-O-V-E,,
Nat King Cole,,,./cho/MNO/N/NatKingCole/L_O_V_E-C.cho,,,C,,,78,,L-O-V-E,,
Nancy Sinatra,,,./cho/MNO/N/NancySinatra/TheseBootsWereMadeForWalkin.cho,4,2:20,E,,E,84,,These Boots Are Made For Walkin',,
Natalie Imbruglia,52,,./cho/MNO/N/NatalieImbruglia/Torn.cho,4,3:35,F,P51,,,,Torn,,
Old Crow Medicine Show,,,./cho/MNO/O/OldCrowMedicineShow/Firewater.cho,,3:00,G],,,,,Firewater,,
O'Jays,,,./cho/MNO/O/O_Jays/UseTaBeMyGirl.cho,,,F,,,,,Use Ta Be My Girl,,
Olivia Rodrigo,,,./cho/MNO/O/OliviaRodrigo/AllIWant.cho,,,G,,,,,All I Want,,
Modern English,,,./cho/MNO/M/ModernEnglish/IMeltWithYou.cho,,,C,,,,,I Melt With You,,
Mike Reid,,,./cho/MNO/M/MikeReid/YourLoveStaysWithMe.cho,,,E,,,,,Your Love Stays With Me,,
Morgan Wallen,,,./cho/MNO/M/MorganWallen/SevenSummers.cho,,,C,,,102,4/4,7 Summers,,
Morgan Wallen,,,./cho/MNO/M/MorganWallen/MoreThanMyHometown.cho,,,G,,,126,4/4,More Than My Hometown,,
Morgan Wallen (Eric Church),,,./cho/MNO/M/MorganWallen/ManMadeABar.cho,,,C,,,105,,Man Made A Bar,,
Morgan Wallen,,,./cho/MNO/M/MorganWallen/SomebodysProblem.cho,,,F,,,137,,Somebody's Problem,,
Morgan Wallen,,,./cho/MNO/M/MorganWallen/SandInMyBoots.cho,,3:05,C,N52,,,,Sand In My Boots,,
Morgan Wallen,51,,./cho/MNO/M/MorganWallen/LoveSomebody.cho,8,3:00,Em,P52,,120,,Love Somebody,,
Morgan Wallen (Eric Church),,,./cho/MNO/M/MorganWallen/ManMadeABar-E.cho,,,E,,,105,,Man Made A Bar,,
Mitch Ryder and The Detroit Wheels,,,./cho/MNO/M/MitchRyder/DevilWithTheBlueDress.cho,,,C,,,,,Devil With The Blue Dress,,
Marcus King Band,,,./cho/MNO/M/MarcusKing/OneDayShesHere.cho,,,Bm,,,,,One Day She’s Here,,
Miley Cyrus,,,./cho/MNO/M/MileyCyrus/Flowers.cho,8,3:00,Am,N21,,122,,Flowers,,
Miley Cyrus / Billy Ray Cyrus,,,./cho/MNO/M/MileyCyrus/ButterflyFlyAway.cho,,2:35,Eb,P23,,136,,Butterfly Fly Away,,
Mayer Hawthorne,,,./cho/MNO/M/MayerHawthorne/TheWalk.cho,,,A,,,,,The Walk,,
Mama Cass,,,./cho/MNO/M/MamaCass/DreamALittleDream-C-NYE.cho,,,C,,,133,,Dream A Little Dream Of Me - NYE,,
Mama Cass,,,./cho/MNO/M/MamaCass/DreamALittleDream-C.cho,,,C,,,133,,Dream A Little Dream Of Me,,
Mama Cass,,,./cho/MNO/M/MamaCass/DreamALittleDreamOfMe-C.cho,,,C,,,133,,Dream A Little Dream Of Me,,
Marshall Tucker Band,,,./cho/MNO/M/MarshallTuckerBand/CantYouSee.cho,4,5:00,D,N34,A,164,,Can't You See,,1.0
Marshall Tucker Band,,,./cho/MNO/M/MarshallTuckerBand/CantYouSee-a.cho,4,5:00,A,N34,A,164,,Can't You See,,
Midland,,,./cho/MNO/M/Midland/TakeHerOffYourHands.cho,,,,,,,,Take Her Off Your Hands,,
Midland,,,./cho/MNO/M/Midland/OldFashionedFeeling.cho,,,G,,,,,Old Fashioned Feeling,,
Midland,,,./cho/MNO/M/Midland/CheatinSong.cho,,,D,,,,,Cheatin' Songs,,
Midland,24,,./cho/MNO/M/Midland/DrinkingProblem.cho,4,3:00,A,P25,,102,,Drinkin' Problem,,
Midland,,,./cho/MNO/M/Midland/Vegas.cho,,3:28,D,,,133,,Vegas,,
Midland,,,./cho/MNO/M/Midland/FourteenGears.cho,,,D,,,,,Fourteen Gears,,
Midland,,,./cho/MNO/M/Midland/RollAway.cho,,,C,,,,,Roll Away,,
"Michael Sadri, Scott Davidson",,,./cho/MNO/M/MichaelSadri/GoingToMontana.cho,,3:30,Am,,,136,,Going To Montana,,
Michael Sadri,,,./cho/MNO/M/MichaelSadri/GoingToMontana-orig.cho,,,C,,,,,Going To Montana - Original,,
Michael Sadri,,,./cho/MNO/M/MichaelSadri/AreYouHungryTonight.cho,,2:50,C,,,66,3/4,Are You Hungry Tonight?,,
Madonna,59,,./cho/MNO/M/Madonna/LaIslaBonita.cho,8,4:00,C#m,P54,C#m,100,,La Isla Bonita,,
Mary Chapin Carpenter,56,,./cho/MNO/M/MaryChapinCarpenter/IFeelLucky.cho,8,3:20,B,A01,,120,,I Feel Lucky,,
Mike and the Mechanics,,,./cho/MNO/M/Mike+TheMechanics/AllINeedIsAMiracle.cho,,,F,,,120,,All I Need Is A Miracle,,
Jo Dee Messina,27,,./cho/JKL/J/JoDeeMessina/ByeBye.cho,8,3:12,G,O24,Bb (+3),134,,Bye Bye,,
Jo Dee Messina,27,,./cho/JKL/J/JoDeeMessina/ByeBye-bb.cho,8,3:12,Bb,O24,Bb,134,,Bye Bye,,
Jewel,,,./cho/JKL/J/Jewel/WhoWillSaveMySoul.cho,,,Am,,,126,,Who Will Save My Soul,,
Josh Turner,,,./cho/JKL/J/JoshTurner/Jacksonville.cho,,,C,,,119,,Jacksonville,,
Josh Turner,,,./cho/JKL/J/JoshTurner/Jacksonville-D.cho,,,D,,,119,,Jacksonville,,
JJ Cale,,,./cho/JKL/J/JJCale/SensitiveKind.cho,,5:00,Dm,N11,,101,,Sensitive Kind,,
Jordan Davis,,,./cho/JKL/J/JordanDavis/TusconTooLate.cho,,,G,,,,,Tuscon Too Late,,
Judy Garland,,,./cho/JKL/J/JudyGarland/OverTheRainbow.cho,,,Eb,,,,,Over the Rainbow,,
Judy Garland,,,./cho/JKL/J/JudyGarland/OverTheRainbow-E.cho,,,E,,,,,Over the Rainbow,,
Judy Garland,,,./cho/JKL/J/JudyGarland/OverTheRainbow-Bb.cho,,,Bb,,,,,Over the Rainbow,,
John Mellencamp,54,,./cho/JKL/J/JohnMellencamp/ROCKInTheUSA.cho,8,2:55,E,,,,,R.O.C.K. In The U.S.A,,
John Mellencamp,,,./cho/JKL/J/JohnMellencamp/JackandDiane.cho,,3:40,A,,,104,,Jack and Diane,,
John Mellencamp,,,./cho/JKL/J/JohnMellencamp/CherryBomb.cho,,,G,,,,,Cherry Bomb,,
John Hiatt,,,./cho/JKL/J/JohnHiatt/MemphisInTheMeantime.cho,,,E,,,,,Memphis in the Meantime,,
Joe Cocker,18,,./cho/JKL/J/JoeCocker/UnchainMyHeart.cho,0,5:07,Am,O:24,,118,,Unchain My Heart,,
Joe Cocker,18,,./cho/JKL/J/JoeCocker/UnchainMyHeartExtended.cho,0,5:07,Am,O:24,,118,,Unchain My Heart (Extended),,
Jim Croce,5,,./cho/JKL/J/JimCroce/BadBadLeroyBrown.cho,8,2:35,G,O55,,148,,Bad Bad Leroy Brown,,
Jim Croce,,,./cho/JKL/J/JimCroce/YouDontMessAroundWithJim.cho,,,F,,,164,,You Don't Mess Around With Jim,,
John Mayer,,,./cho/JKL/J/JohnMayer/ImGonnaFindAnotherYou.cho,,3:00,A,,,,,I’m Gonna Find Another You,,
John Lennon,,,./cho/JKL/J/JohnLennon/BeautifulBoy.cho,,,D,,,100,,Beautiful Boy,,
John Lennon,,,./cho/JKL/J/JohnLennon/WatchingTheWheels.cho,,,C,,,,,Watching The Wheels,,
Jon Hume,,,./cho/JKL/J/JonHume/DontForget.cho,,,C,,,,,Don't Forget (Welcome to Wrexham),,
Jackson Browne,,,./cho/JKL/J/JacksonBrowne/Stay.cho,,3:00,G,P25,,,,Stay,,
Kane Brown,,,./cho/JKL/K/KaneBrown/BuryMeInGeorgia.cho,,,Gm,,,,,Bury Me In Georgia,,
KT Tunstall,,,./cho/JKL/K/KTTunsall/SuddenlyISee.cho,,,D,,,,,Suddenly I See,,
KT Tunstall,,,./cho/JKL/K/KTTunsall/BlackHorseAndTheCherryTree.cho,8,2:20,Em,,,103,,Black Horse and the Cherry Tree,,
Kenny Chesney,,,./cho/JKL/K/KennyChesney/EveryoneSheKnows.cho,,,F,,,,,Everyone She Knows,,
Kacy Musgraves,,,./cho/JKL/K/KaceyMusgraves/SlowBurn.cho,4,3:00,G,O24,,148,,Slow Burn,,
Kacy Musgraves,,,./cho/JKL/K/KaceyMusgraves/DeeperWell.cho,,3:30,C,,,111,,Deeper Well,,
Kacy Musgraves,,,./cho/JKL/K/KaceyMusgraves/Rainbow.cho,,2:50,Eb,P23,,65,,Rainbow,,
Kool and the Gang,,,./cho/JKL/K/KoolAndTheGang/GetDownOnIt.cho,,4:00,Em,,,,,Get Down On It,,
Kelly Clarkson,53,,./cho/JKL/K/KellyClarkson/Breakaway.cho,6,3:45,Am,A01,,,3/4,Breakaway,,
Kelly Clarkson,100,,./cho/JKL/K/KellyClarkson/SinceUBeenGone.cho,8,3:10,G,A01,,,,Since U Been Gone,,
Louis Armstrong,,,./cho/JKL/L/LouisArmstrong/DreamALittleDream-C.cho,,1:10,C,,,133,,Dream A Little Dream Of Me,,
Louis Armstrong,,,./cho/JKL/L/LouisArmstrong/WhatAWonderfulWorld.cho,,,F,,,108,,What A Wonderful World,,
Louis Armstrong,,,./cho/JKL/L/LouisArmstrong/WhatAWonderfulWorld-Bb.cho,,,Bb,,,108,,What A Wonderful World,,
Louis Armstrong,,,./cho/JKL/L/LouisArmstrong/DreamALittleDream.cho,,,G,,,133,,Dream A Little Dream Of Me,,
Lobo,,,./cho/JKL/L/Lobo/IdLoveYouToWantMe.cho,,,G,,,,,I'd Love You To Want Me,,
Linda Ronstadt,60,,./cho/JKL/L/LindaRonstadt/HeatWave.cho,8,2:45,Eb,P55,,165,,Heat Wave,,
Linda Ronstadt,,,./cho/JKL/L/LindaRonstadt/LongLongTime.cho,,,Em,,,,,Long Long Time,,
Linda Ronstadt,61,,./cho/JKL/L/LindaRonstadt/BackInTheUSA.cho,4,3:00,G,P55,,165,,Back In The USA,,
Linda Ronstadt,,,./cho/JKL/L/LindaRonstadt/LongLongTime-Am.cho,,,Am,,,,,Long Long Time,,
Lou Ann Barton,,,./cho/JKL/L/LouAnnBarton/TeNiNeeNi.cho,,,E,,,,,Te Ni Nee Ni,,
Looking Glass,,,./cho/JKL/L/LookingGlass/Brandy.cho,,3:00,E,,,,,Brandy (You're A Fine Girl),,
Lauren Daigle,,,./cho/JKL/L/LaurenDaigle/YouSay.cho,,4:00,F,M25,,148,,You Say,,
Lionel Richie,,,./cho/JKL/L/LionelRichie/DeepRiverWoman.cho,,,G,,,135,,Deep River Woman,,
Luke Bryan,,,./cho/JKL/L/LukeBryan/PlayItAgain.cho,,,C,,,,,Play It Again,,
Leon Bridges ( feat Luke Combs ),,,./cho/JKL/L/LeonBridges/Beyond.cho,,,G,,,,,Beyond,,
Leblanc & Carr,,,./cho/JKL/L/LeblancCarr/Falling.cho,,,,,,,,Falling,,
The Cure / Lumineers,,,./cho/JKL/L/Lumineers/JustLikeHeaven(1).cho,,,A,,,,,Just Like Heaven,,
The Cure / Lumineers,,,./cho/JKL/L/Lumineers/JustLikeHeaven.cho,,,A,,,,,Just Like Heaven,,
Lynyrd Skynyrd,25,,./cho/JKL/L/LynyrdSkynyrd/WhatsYourName.cho,8 ; start with pickup,3:10,G,,,135,,What's Your Name,,
Lynard Skynard,,,./cho/JKL/L/LynyrdSkynyrd/SweetHomeAlabama.cho,,,D,,,,,Sweet Home Alabama,,
